PaperID,Title,Author,Year,Subject,Educational level,Contexts,Specific contexts
P14,BeGrading: large language models for enhanced feedback in programming education,"Yousef, Mina; Mohamed, Kareem; Medhat, Walaa; Mohamed, Ensaf Hussein; Khoriba, Ghada; Arafa, Tamer",2025,Computer Science,higher education,programming,provide feedback on programming assignments
P15,ChatGPT as an Automated Writing Evaluation (AWE) Tool: Feedback Literacy Development and AWE Tools' Integration Framework,Imelda Gozali; Alberik Ryan Tendy Wijaya; Anita Lie; Bambang Yudi Cahyono; Nunung Suryati,2024,Language Learning,higher education,writing, provide feedback on L2 writing(English)
P16,ChatGPT's capabilities in providing feedback on undergraduate students' argumentation: A case study,"Wang, Li; Chen, Xinya; Wang, Chung; Xu, Lingna; Shadiev, Rustam; Li, Yan",2024,Language Learning,higher education,writing, provide feedback on argumentative writing
P17,Combining LLM-Generated and Test-Based Feedback in a MOOC for Programming,"Gabbay, Hagit; Cohen, Anat",2024,Computer Science,higher education,programming,provide feedback on programming assignments
P18,Comparing ChatGPT's correction and feedback comments with that of educators in the context of primary students' short essays written in English and Greek,"Fokides, Emmanuel; Peristeraki, Eirini",2025,Language Learning,primary education,writing,provide feedback on L1 and L2 writing(English and Greek)
P19,Comparing Feedback from Large Language Models and Instructors: Teaching Computer Science at Scale,"Nguyen, Ha; Stott, Nate; Allan, Vicki",2024,Computer Science,higher education,programming,provide feedback on programming assignments
P20,Comparing the effects of instructor manual feedback and ChatGPT intelligent feedback on collaborative programming in China's higher education,F. Ouyang; M. Guo; N. Zhang; X. Bai; P. Jiao,2024,Computer Science,higher education,programming,provide feedback on collaborative programming
P21,Comparing the quality of human and ChatGPT feedback of students' writing,"Steiss, Jacob; Tate, Tamara; Graham, Steve; Cruz, Jazmin; Hebert, Michael; Wang, Jiali; Moon, Youngsun; Tseng, Waverly; Warschauer, Mark; Olson, Carol Booth",2024,History,Secondary education,writing, provide feedback on source-based argument essays
P22,Enhancing radiology training with GPT-4: Pilot analysis of automated feedback in trainee preliminary reports,"Bala, Wasif; Li, Hanzhou; Moon, John; Trivedi, Hari; Gichoya, Judy; Balthazar, Patricia",2025,Medicine,higher education,medical task,provide feedback on preliminary reports of Radiology
P23,Evaluating the Ability of Large Language Models to Generate Motivational Feedback,"Gaeta, Angelo; Orciuoli, Francesco; Pascuzzo, Antonella; Peduto, Angela",2024,Computer Science,higher education,general assignments,provide feedback on assignments
P24,Evaluating the Application of Large Language Models to Generate Feedback in Programming Education,S. Jacobs; S. Jaschke,2024,Computer Science,higher education,programming,provide feedback on programming assignments
P25,Evaluation of LLM Tools for Feedback Generation in a Course on Concurrent Programming,"Estevez-Ayres, Iria; Callejo, Patricia; Hombrados-Herrera, Miguel Angel; Alario-Hoyos, Carlos; Delgado Kloos, Carlos",2024,Computer Science,higher education,programming,provide feedback on programming assignments
P26,Exploring Generative AI Assisted Feedback Writing for Students' Written Responses to a Physics Conceptual Question with Prompt Engineering and Few-Shot Learning,Tong Wan; Zhongzhou Chen,2024,Physics,higher education,conceptual task,provide feedback on physics conceptual question
P27,Exploring the Feasibility and Efficacy of ChatGPT3 for Personalized Feedback in Teaching,"Naz, Irum; Robertson, Rodney",2024,Language Learning,higher education,writing, provide feedback on L2 writing
P28,Exploring the impact of ChatGPT-generated feedback on technical writing skills of computing students: A blinded study,"Alghamdi, Rayed",2024,Language Learning,higher education,writing,provide feedback on technical writing
P29,"Exploring the Role of ChatGPT as a Peer Coach for Developing Research Proposals: Feedback Quality, Prompts, and Student Reflection",Johannes Cronj√©,2023,Computer Science,higher education,writing,provide feedback on research proposals writing and developing
P30,Exploring the use of artificial intelligence (AI) in the delivery of effective feedback,"Venter, Julia; Coetzee, Stephen A.; Schmulian, Astrid",2024,Accounting,higher education,open-ended question,provide feedback on discussion or essay-style questions
P31,Feedback Sources in Essay Writing: Peer-Generated or AI-Generated Feedback?,Seyyed Kazem Banihashem; Nafiseh Taghizadeh Kerman; Omid Noroozi; Jewoong Moon; Hendrik Drachsler,2024,Language Learning,higher education,writing,provide feedback on argumentative writing
P32,Feedback-Generation for Programming Exercises With GPT-4,"Azaiz, Imen; Kiesler, Natalie; Strickroth, Sven",2024,Computer Science,higher education,general assignments,provide feedback on assignments
P33,Formative Feedback on Student-Authored Summaries in Intelligent Textbooks Using Large Language Models,"Morris, Wesley; Crossley, Scott; Holmes, Langdon; Ou, Chaohua; Dascalu, Mihai; Mcnamara, Danielle",2024,Language Learning,Not specific,open-ended question,provide feedback to students about the quality of summaries written at the end of intelligent textbook sections
P34,Generating High-Precision Feedback for Programming Syntax Errors Using Large Language Models,"Phung, Tung; Cambronero, Jos√©; Gulwani, Sumit; Kohn, Tobias; Majumdarm, Rupak; Singla, Adish; Soares, Gustavo",2023,Computer Science,higher education,programming,provide feedback on programming assignments
P35,Generative AI for scalable feedback to multimodal exercises,"Jurgensmeier, Lukas; Skiera, Bernd",2024,Marketing,higher education,open-ended question,"provide feedback on complex multimodal exercises requiring coding, statistics, and economic reasoning."
P36,Harnessing Generative AI to Enhance Feedback Quality in Peer Evaluations within Project-Based Learning Contexts,"Sajadi, Susan; Huerta, Mark; Ryan, Olivia; Drinkwater, Katie",2024,Engineering,higher education,Project-Based Learning,provide summary feedback on peer feedback on Project-Based Learning
P37,Improving the Validity of Automatically Generated Feedback via Reinforcement Learning,"Scarlatos, Alexander; Smith, Digory; Woodhead, Simon; Lan, Andrew",2024,Math,middle school,problem-solving,Provide feedback on problem-solving within intelligent tutoring systems and online learning platforms.
P38,Integrating ChatGPT in an Introductory Engineering Undergraduate Course as a Tool for Feedback,"Cortez, Anthony; Schmelzenbach, Paul Daniel",2024,Engineering,higher education,general assignments,provide feedback on MATLAB exam(assignment)
P39,Interacting with ChatGPT for internal feedback and factors affecting feedback quality,"Tam, Angela Choi Fung",2025,Academic Writing Learning,higher education,writing,provide feedback on academic writing
P40,Investigating the Potential of GPT-3 in Providing Feedback for Programming Assessments,"Balse, Rishabh; Valaboju, Bharath; Singhal, Shreya; Warriem, Jayakrishnan Madathil; Prasad, Prajish",2023,Computer Science,higher education,exam,provide feedback on exam
P41,Investigating the Proficiency of Large Language Models in Formative Feedback Generation for Student Programmers,"S Kumar, Smitha; Adam Lones, Michael; Maarek, Manuel; Zantout, Hind",2024,Computer Science,higher education,general assignments,provide feedback on assignments
P42,Large Language Models (GPT) for automating feedback on programming assignments,"Pankiewicz, MacIej; Baker, Ryan S.",2023,Computer Science,higher education,general assignments,provide feedback on assignments
P43,Large language models meet user interfaces: The case of provisioning feedback,"Pozdniakov, Stanislav; Brazil, Jonathan; Abdi, Solmaz; Bakharia, Aneesha; Sadiq, Shazia; Ga≈°eviƒá, Dragan; Denny, Paul; Khosravi, Hassan",2024,Computer Science,higher education,general assignments,provide feedback on assignments
P44,Leveraging Lecture Content for Improved Feedback: Explorations with GPT-4 and Retrieval Augmented Generation,S. Jacobs; S. Jaschke,2024,Computer Science,higher education,problem-solving,provide feedback on problem-solving
P45,Open Source Language Models Can Provide Feedback: Evaluating LLMs' Ability to Help Students Using GPT-4-As-A-Judge,"Koutcheme, Charles; Dainese, Nicola; Sarsa, Sami; Hellas, Arto; Leinonen, Juho; Denny, Paul",2024,Computer Science,higher education,problem-solving,provide feedback on problem-solving
P46,Optimizing Database Query Learning: A Generative AI Approach for Semantic Error Feedback,"AlRabah, Abdulrahman; Yang, Sophia; Alawini, Abdussalam",2024,Computer Science,higher education,general assignments,provide feedback on SQL queries assignment
P47,Pose-aware Large Language Model Interface for Providing Feedback to Sign Language Learners,"Knapp, Vaclav; Bohacek, Matyas",2024,Sign Language,not specific,sign language assessment, provide feedback on sign language assessment
P48,Revolutionizing eLearning Assessments: The Role of GPT in Crafting Dynamic Content and Feedback,"Bernal, Michael E.",2024,Computer Science,higher education,general assignments,provide feedback on MCQs and open-ended questions
P49,Students' Perceptions and Preferences of Generative Artificial Intelligence Feedback for Programming,"Zhang, Zhengdong; Dong, Zihan; Shi, Yang; Price, Thomas; Matsuda, Noboru; Xu, Dongkuan",2024,Computer Science,higher education,programming,provide feedback on programming assignments
P50,Surgeons vs ChatGPT: Assessment and Feedback Performance Based on Real Surgical Scenarios,"Trujillo, Cristian Jarry; Ulloa, Javier Vela; Vivas, Gabriel Escalona; Escobar, Eugenio Grasset; Gutierrez, Ignacio Villagran; Tirado, Pablo Achurra; Cohen, Julian Varas",2024,Medicine,higher education,medical task,provide feedback on surgical scenarios
P51,Synergizing collaborative writing and AI feedback: An investigation into enhancing L2 writing proficiency in wiki-based environments,"Wiboolyasarin, Watcharapol; Wiboolyasarin, Kanokpan; Suwanwihok, Kanpabhat; Jinowat, Nattawut; Muenjanchoey, Renu",2024,Language Learning,higher education,writing,provide feedback on Collaborative writing
P52,The future of grading programming assignments in education: The role of ChatGPT in automating the assessment and feedback process,"Jukiewicz, Marcin",2024,Computer Science,higher education,programming,provide feedback on programming assignments
P53,"The use of ChatGPT to generate Summative Feedback in Programming Assessments that is Consistent, Prompt, without Bias and Scalable","McGowan, Aidan; Anderson, Neil; Smith, Christopher",2024,Computer Science,higher education,programming,provide feedback on programming assignments
P54,To Resist It or to Embrace It? Examining ChatGPT's Potential to Support Teacher Feedback in EFL Writing,Kai Guo; Deliang Wang,2024,Language Learning,higher education,writing,provide feedback on argumentative writing
P55,Towards Human-Level Evaluation: Assessing the Potential of GPT-4 in Automated Evaluation and Feedback Generation on Japanese Essays,S. Nakamoto; Y. Okamoto; T. Nakakouchi; K. Shimada,2024,Language Learning,higher education,writing,provide feedback on L1 writing(Japanese)
P56,"Using GPT-4 to Provide Tiered, Formative Code Feedback","Nguyen, Ha; Allan, Vicki",2024,Computer Science,higher education,programming,provide feedback on programming assignments
P57,"Using LLMs to bring evidence-based feedback into the classroom: AI-generated feedback increases secondary students‚Äô text revision, motivation, and positive emotions","Meyer, Jennifer; Jansen, Thorben; Schiller, Ronja; Liebenow, Lucas W.; Steinbach, Marlene; Horbach, Andrea; Fleckenstein, Johanna",2024,Language Learning,Secondary education,writing,provide feedback on argumentative writing
P58,A RAG-based Feedback Tool to Augment UML Class Diagram Learning,"Ardimento, Pasquale; Bernardi, Mario Luca; Cimitile, Marta; Scalera, Michele",2024,Computer Science,higher education,general assignments,provide feedback on UML modeling
P59,An LLM-Powered Adaptive Practicing System,"Kabir, M.R.; Lin, F.",2023,Computer Science,higher education,general assignments,"provide feedback on answer, the performance of the student and whether the student mastered a topic or not."
P60,Assessing student perceptions and use of instructor versus AI-generated feedback,"Er, E; Ak√ßapinar, G; Bayazit, A; Noroozi, O; Banihashem, SK",2024,Computer Science,higher education,programming,provide feedback on Java programming
P61,Automated Comment Generation Based on the Large Language Model,"Cai, K.; Zhou, J.; Kong, L.; Liang, D.; Li, X.",2023,Academic Writing Learning,higher education,writing,provide feedback on academic writing
P62,Automated feedback generation in an intelligent tutoring system for counselor education,E. Rudolph; H. Seer; C. Mothes; J. Albrecht,2024,Psychology,adults education,problem-solving,provide feedback on an emotional and objective level in text-based counseling sessions
P63,CHATGPT-GENERATED CORRECTIVE FEEDBACK: DOES IT DO WHAT IT SAYS on the TIN?,"ElEbyary, K.; Shabara, R.",2024,Language Learning,higher education,writing,provide feedback on L2 writing
P64,Can ChatGPT Effectively Complement Teacher Assessment of Undergraduate Students' Academic Writing?,Qi Lu; Yuan Yao; Longhai Xiao; Mingzhu Yuan; Jue Wang; Xinhua Zhu,2024,Academic Writing Learning,higher education,writing,provide feedback on academic writing
P65,ChatGPT versus expert feedback on clinical reasoning questions and their effect on learning: a randomized controlled trial,"√ái√ßek, FE; √úlker, M; √ñzer, M; Kiyak, YS",2024,Medicine,higher education,medical task,provide feedback on clinical reasoning  questions
P66,Development and Evaluation of a Custom GPT for the Assessment of Students' Designs in a Typography Course,"Almasre, M",2024,Design,higher education,general assignments,provide feedback on typographical designs
P67,Distilling ChatGPT for Explainable Automated Student Answer Assessment,"Li, J.; Gui, L.; Zhou, Y.; West, D.; Aloisi, C.; He, Y.",2023,Mix,Secondary Education,problem-solving,provide feedback on short answer responses
P68,Enhancing Programming Error Messages in Real Time with Generative AI,"Kimmel, Bailey; Geisert, Austin Lee; Yaro, Lily; Gipson, Brendan; Hotchkiss, Ronald Taylor; Osae-Asante, Sidney Kwame; Vaught, Hunter; Wininger, Grant; Yamaguchi, Chase",2024,Computer Science,higher education,programming,provide feedback on programming assignments
P69,Enhancing University Students‚Äô Activities with Interactive Immediate Feedback Using Customized LLMs,V. Andonov,2024,Computer Science,higher education,programming,provide feedback on programming assignments
P70,Evaluating the Quality of LLM-Generated Explanations for Logical Errors in CS1 Student Programs,"Balse, Rishabh; Kumar, Viraj; Prasad, Prajish; Warriem, Jayakrishnan Madathil",2023,Computer Science,higher education,programming,provide feedback on syntactically correct student code containing logical errors
P71,FeedbackPulse: GPT-Enabled Feedback Assistant for Software Engineering Educators,Y. Liao; Y. Jiang; Z. Chen; B. Suleiman,2024,Engineering,higher education,general assignments,Providing feedback on students' software engineering work
P72,From Revisions to Insights: Converting Radiology Report Revisions into Actionable Educational Feedback Using Generative AI Models,"Lyo, S; Mohan, S; Hassankhani, A; Noor, A; Dako, F; Cook, T",2024,Medicine,higher education,medical task,provide feedback on trainees’ preliminary reports
P73,Generative-AI Assisted Feedback Provisioning for Project-Based Learning in CS Courses,"Kusam, V.A.; Moore, L.; Shrestha, S.; Song, Z.; Lu, J.; Zhu, Q.",2024,Computer Science,higher education,general assignments,"provide feedback on students' Submission, include project proposals, Front-end Design, Back-end Implementation"
P74,HAROR: A System for Highlighting and Rephrasing Open-Ended Responses,"Lin, Jionghao; Koedinger, Kenneth R.",2024,Mix,Teacher education,responses to openended questions from real-world tutoring scenarios-->teacher traning,"provide feedback on trainees’ responses to openended questions from real-world tutoring scenarios, which enhances trainees’ understanding and pedagogical skills."
P75,Hands-on analysis of using large language models for the auto evaluation of programming assignments,"Mohamed, K; Yousef, M; Medhat, W; Mohamed, EH; Khoriba, G; Arafa, T",2025,Computer Science,higher education,programming,provide feedback on programming assignments
P76,Harnessing large language models to develop research-based learning assistants for formative feedback,"Steinert, S; Avila, KE; Ruzika, S; Kuhn, J; K√ºchemann, S",2024,Physics,Secondary Education; Higher Education,problem-solving,provide feedback on problem-solving
P77,How Can I Get It Right? Using GPT to Rephrase Incorrect Trainee Responses,"Lin, JH; Han, ZF; Thomas, DR; Gurung, A; Gupta, S; Aleven, V; Koedinger, KR",2024,Mix,Teacher education,how to best respond to specific training scenarios-->teacher traning,"provide feedback on trainees’(novice tutors's) responses of how to best respond to specific training scenarios (e.g., praising a student for effort)"
P78,IMBUE: Improving Interpersonal Effectiveness through Simulation and Just-in-time Feedback with Human-Language Model Interaction,"Lin, I.W.; Sharma, A.; Rytting, C.M.; Miner, A.S.; Suh, J.; Althoff, T.",2024,Psychology,adults education,problem-solving,provide feedback on Problem-Solving(Simulation-based Training)
P79,Interaction and dialogue: Integration and application of artificial intelligence in blended mode writing feedback,"Jiang, Y",2025,Language Learning,higher education,writing,"provide feedback on L1 writing(Chinese, Blended-mode writing)"
P80,Investigating students' uptake of teacher- and ChatGPT-generated feedback in EFL writing: a comparison study,"Zou, SY; Guo, K; Wang, J; Liu, Y",2025,Language Learning,higher education,writing,provide feedback on L2 writing
P81,Is ChatGPT a Good Teacher Coach? Measuring Zero-Shot Performance For Scoring and Providing Actionable Insights on Classroom Instruction,"Wang, R.; Demszky, D.",2023,Math,Teacher education,instructional practice,provide feedback on instructional practice (helpful pedagogical suggestions)  and generate classroom observation rubric scores
P82,L2 students' barriers in engaging with form and content-focused AI-generated feedback in revising their compositions,"Ziqi, C; Xinhua, Z; Qi, L; Wei, W",2024,Academic Writing Learning,higher education,writing,provide feedback on academic writing
P83,Large language models improve clinical decision making of medical students through patient simulation and structured feedback: a randomized controlled trial,"Br√ºgge, E; Ricchizzi, S; Arenbeck, M; Keller, MN; Schur, L; Stummer, W; Holling, M; Lu, MH; Darici, D",2024,Medicine,higher education,medical task,provide feedback on CDM training performance
P84,Leveraging large language models to construct feedback from medical multiple-choice Questions,"Tomova, M; Atanet, IR; Sehy, V; Sieg, M; M√§rz, M; M√§der, P",2024,Medicine,higher education,exam,provide feedback on medical  multiple-choice Questions
P85,Next-Step Hint Generation for Introductory Programming Using Large Language Models,"Roest, Lianne; Keuning, Hieke; Jeuring, Johan",2024,Computer Science,higher education,programming,provide feedback on programming
P86,The grass is not always greener: Teacher vs. GPT-assisted written corrective feedback,"Lin, SM; Crosthwaite, P",2024,Language Learning,higher education,writing,provide feedback on L2 writing
P87,Towards Effective Argumentation: Design and Implementation of a Generative AI-Based Evaluation and Feedback System,Hunkoog Jho; Minsu Ha,2024,Language Learning,Secondary Education,writing,provide feedback on scientific writing
P88,Using hybrid intelligence to enhance peer feedback for promoting teacher reflection in video-based online learning,"Yu, JL; Yu, SQ; Chen, L",2024,Math,Teacher education,teacher peer feedback,"provide feedback on peer feedback in video-based teacher online learning
(we developed a hybrid intelligence feedback (HIF) system, where peer feedback is categorized and summarized by large language models (LLM), and accompanied with AI multimodal data analysis, all in accordance with a knowledge structure)"
P89,You're (Not) My Type- Can LLMs Generate Feedback of Specific Types for Introductory Programming Tasks?,"Lohr, D; Keuning, H; Kiesler, N",2025,Computer Science,higher education,programming,provide feedback on programming Tasks
